Cpu0  :  5.3%us, 10.9%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.2%st
Cpu0  :  5.3%us, 10.9%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.2%st
Cpu0  :  5.3%us, 10.9%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.2%st
Cpu0  :  5.3%us, 10.9%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.2%st
Cpu0  :  5.3%us, 10.9%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.2%st
Cpu0  :  5.3%us, 10.9%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.2%st
Cpu0  :  5.3%us, 10.9%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.2%st
Cpu0  :  5.3%us, 10.9%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.2%st
Cpu0  :  5.3%us, 10.9%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.2%st
Cpu0  :  5.3%us, 10.9%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 10.9%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 10.9%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 10.9%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 10.9%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 10.9%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 10.9%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.0%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.0%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.0%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.0%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.0%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.0%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.0%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
Cpu0  :  5.3%us, 11.0%sy,  1.8%ni, 53.9%id,  2.0%wa,  0.0%hi,  2.9%si, 23.1%st
