Cpu0  :  3.7%us,  2.8%sy,  0.0%ni, 91.5%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  3.7%us,  2.9%sy,  0.0%ni, 91.4%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  3.7%us,  3.0%sy,  0.0%ni, 91.3%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  3.8%us,  3.1%sy,  0.0%ni, 91.2%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  3.8%us,  3.2%sy,  0.0%ni, 91.1%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  3.8%us,  3.3%sy,  0.0%ni, 91.0%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  3.8%us,  3.4%sy,  0.0%ni, 90.8%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  3.8%us,  3.5%sy,  0.0%ni, 90.7%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  3.8%us,  3.6%sy,  0.0%ni, 90.6%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  3.9%us,  3.7%sy,  0.0%ni, 90.5%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  3.9%us,  3.8%sy,  0.0%ni, 90.4%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  3.9%us,  3.9%sy,  0.0%ni, 90.3%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  3.9%us,  4.0%sy,  0.0%ni, 90.2%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  3.9%us,  4.1%sy,  0.0%ni, 90.1%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  3.9%us,  4.2%sy,  0.0%ni, 90.0%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  3.9%us,  4.3%sy,  0.0%ni, 89.9%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  3.9%us,  4.3%sy,  0.0%ni, 89.8%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  4.0%us,  4.4%sy,  0.0%ni, 89.7%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  4.0%us,  4.5%sy,  0.0%ni, 89.6%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  4.0%us,  4.6%sy,  0.0%ni, 89.5%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  4.0%us,  4.7%sy,  0.0%ni, 89.4%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  4.0%us,  4.7%sy,  0.0%ni, 89.4%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  4.0%us,  4.7%sy,  0.0%ni, 89.4%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  4.0%us,  4.7%sy,  0.0%ni, 89.4%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  4.0%us,  4.7%sy,  0.0%ni, 89.4%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  4.0%us,  4.7%sy,  0.0%ni, 89.4%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
Cpu0  :  4.0%us,  4.7%sy,  0.0%ni, 89.4%id,  1.5%wa,  0.0%hi,  0.0%si,  0.4%st
