Cpu0  :  6.4%us, 11.6%sy,  0.0%ni, 76.8%id,  1.2%wa,  0.0%hi,  3.6%si,  0.3%st
Cpu0  :  6.4%us, 11.6%sy,  0.0%ni, 76.7%id,  1.2%wa,  0.0%hi,  3.7%si,  0.3%st
Cpu0  :  6.4%us, 11.6%sy,  0.0%ni, 76.6%id,  1.2%wa,  0.0%hi,  3.8%si,  0.3%st
Cpu0  :  6.4%us, 11.7%sy,  0.0%ni, 76.5%id,  1.2%wa,  0.0%hi,  3.9%si,  0.3%st
Cpu0  :  6.4%us, 11.7%sy,  0.0%ni, 76.4%id,  1.2%wa,  0.0%hi,  4.0%si,  0.3%st
Cpu0  :  6.4%us, 11.7%sy,  0.0%ni, 76.2%id,  1.2%wa,  0.0%hi,  4.1%si,  0.3%st
Cpu0  :  6.4%us, 11.7%sy,  0.0%ni, 76.1%id,  1.2%wa,  0.0%hi,  4.2%si,  0.3%st
Cpu0  :  6.4%us, 11.8%sy,  0.0%ni, 76.0%id,  1.2%wa,  0.0%hi,  4.2%si,  0.3%st
Cpu0  :  6.4%us, 11.8%sy,  0.0%ni, 75.9%id,  1.2%wa,  0.0%hi,  4.3%si,  0.3%st
Cpu0  :  6.4%us, 11.8%sy,  0.0%ni, 75.8%id,  1.2%wa,  0.0%hi,  4.4%si,  0.3%st
Cpu0  :  6.4%us, 11.8%sy,  0.0%ni, 75.7%id,  1.2%wa,  0.0%hi,  4.5%si,  0.3%st
Cpu0  :  6.4%us, 11.8%sy,  0.0%ni, 75.6%id,  1.2%wa,  0.0%hi,  4.6%si,  0.3%st
Cpu0  :  6.4%us, 11.9%sy,  0.0%ni, 75.5%id,  1.2%wa,  0.0%hi,  4.7%si,  0.3%st
Cpu0  :  6.4%us, 11.9%sy,  0.0%ni, 75.4%id,  1.2%wa,  0.0%hi,  4.7%si,  0.3%st
Cpu0  :  6.4%us, 11.9%sy,  0.0%ni, 75.3%id,  1.2%wa,  0.0%hi,  4.8%si,  0.3%st
Cpu0  :  6.4%us, 11.9%sy,  0.0%ni, 75.2%id,  1.2%wa,  0.0%hi,  4.9%si,  0.3%st
Cpu0  :  6.4%us, 11.9%sy,  0.0%ni, 75.1%id,  1.2%wa,  0.0%hi,  5.0%si,  0.3%st
Cpu0  :  6.4%us, 12.0%sy,  0.0%ni, 75.0%id,  1.2%wa,  0.0%hi,  5.1%si,  0.3%st
Cpu0  :  6.4%us, 12.0%sy,  0.0%ni, 74.9%id,  1.2%wa,  0.0%hi,  5.2%si,  0.3%st
Cpu0  :  6.4%us, 12.0%sy,  0.0%ni, 74.8%id,  1.2%wa,  0.0%hi,  5.3%si,  0.3%st
Cpu0  :  6.4%us, 12.0%sy,  0.0%ni, 74.7%id,  1.2%wa,  0.0%hi,  5.3%si,  0.3%st
Cpu0  :  6.4%us, 12.0%sy,  0.0%ni, 74.7%id,  1.2%wa,  0.0%hi,  5.3%si,  0.3%st
Cpu0  :  6.4%us, 12.0%sy,  0.0%ni, 74.8%id,  1.2%wa,  0.0%hi,  5.3%si,  0.3%st
Cpu0  :  6.4%us, 12.0%sy,  0.0%ni, 74.8%id,  1.2%wa,  0.0%hi,  5.3%si,  0.3%st
Cpu0  :  6.4%us, 12.0%sy,  0.0%ni, 74.8%id,  1.2%wa,  0.0%hi,  5.3%si,  0.3%st
Cpu0  :  6.4%us, 12.0%sy,  0.0%ni, 74.8%id,  1.2%wa,  0.0%hi,  5.2%si,  0.3%st
Cpu0  :  6.4%us, 12.0%sy,  0.0%ni, 74.9%id,  1.2%wa,  0.0%hi,  5.2%si,  0.3%st
