Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 23.0%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 23.0%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 23.0%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 23.0%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 23.0%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 23.0%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 23.0%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 23.0%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 23.0%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 22.9%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 22.9%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 22.9%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 22.9%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 22.9%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 22.9%st
Cpu0  :  5.1%us, 10.3%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 22.9%st
Cpu0  :  5.1%us, 10.4%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 22.9%st
Cpu0  :  5.1%us, 10.4%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 22.9%st
Cpu0  :  5.1%us, 10.4%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 22.9%st
Cpu0  :  5.1%us, 10.4%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 22.9%st
Cpu0  :  5.1%us, 10.4%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 22.9%st
Cpu0  :  5.1%us, 10.4%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 22.9%st
Cpu0  :  5.1%us, 10.4%sy,  1.6%ni, 55.5%id,  1.9%wa,  0.0%hi,  2.6%si, 22.9%st
